site_id,first_year,last_year
US-Ho2,1999,2004
US-IB1,2005,2007
US-IB2,2004,2007
US-Ivo,2003,2006
US-KS1,2002,2002
US-KS2,2000,2006
US-Los,2001,2005
US-LPH,2002,2005
US-Me1,2004,2005
US-Me2,2003,2005
US-Me3,2004,2005
US-Me4,1996,2000
US-MMS,1999,2005
US-MOz,2004,2006
US-NC1,2005,2006
US-NC2,2005,2006
US-Ne1,2001,2005
US-Ne2,2001,2005
US-Ne3,2001,2005
US-NR1,1999,2003
US-Oho,2004,2005
US-PFa,1996,2003
US-SO2,1997,2006
US-SO3,1997,2006
US-SO4,2004,2006
US-SP1,2000,2005
US-SP2,1998,2004
US-SP3,1999,2004
US-SP4,1998,1998
US-SRM,2004,2006
US-Syv,2002,2006
US-Ton,2001,2006
US-UMB,1999,2003
US-Var,2001,2006
US-WBW,1995,1999
US-WCr,1999,2006
US-Wi0,2002,2002
US-Wi1,2003,2003
US-Wi2,2003,2003
US-Wi4,2002,2005
US-Wi5,2004,2004
US-Wi6,2002,2002
US-Wi7,2005,2005
US-Wi8,2002,2002
US-Wi9,2004,2005
US-Wkg,2004,2006
US-Wrc,1998,2006
VU-Coc,2001,2004
ZA-Kru,2001,2003
