site_id,location_lat,location_long,ai_value,unep_class_5,unep_class_7,aridity_method
CN-Cha,42.4025,128.0958,0.9411,Humid,Humid (low),exact
CN-Cng,44.5934,123.5092,0.3688,Semi-Arid,Semi-Arid,exact
CN-Dan,30.4978,91.0664,0.37010000000000004,Semi-Arid,Semi-Arid,exact
CN-Din,23.1733,112.5361,1.6615,Humid,Humid (moderate),exact
CN-Du2,42.0467,116.2836,0.3846,Semi-Arid,Semi-Arid,exact
CN-Du3,42.0551,116.2809,0.37560000000000004,Semi-Arid,Semi-Arid,exact
CN-Ha2,37.6086,101.3269,0.5357000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
CN-HaM,37.37,101.18,0.7054,Humid,Humid (low),exact
CN-Qia,26.7414,115.0581,1.4056,Humid,Humid (moderate),exact
CN-Sw2,41.7902,111.8971,0.17900000000000002,Arid,Arid,exact
CZ-BK1,49.5021,18.5369,1.7087,Humid,Humid (moderate),exact
CZ-BK2,49.4944,18.5429,1.7292,Humid,Humid (moderate),exact
CZ-wet,49.0247,14.7704,0.9064000000000001,Humid,Humid (low),exact
DE-Akm,53.8662,13.6834,0.8564,Humid,Humid (low),exact
DE-Geb,51.0997,10.9146,0.6897,Humid,Humid (low),exact
DE-Gri,50.95,13.5126,1.0549,Humid,Humid (moderate),exact
DE-Hai,51.0792,10.4522,1.2737,Humid,Humid (moderate),exact
DE-Kli,50.8931,13.5224,1.1633,Humid,Humid (moderate),exact
DE-Lkb,49.0996,13.3047,2.2662,Humid,Hyper-Humid,exact
DE-Lnf,51.3282,10.3678,1.4006,Humid,Humid (moderate),exact
DE-Obe,50.7867,13.7213,1.2171,Humid,Humid (moderate),exact
DE-RuR,50.6219,6.3041,1.6233000000000002,Humid,Humid (moderate),exact
DE-RuS,50.8659,6.4471,0.9556,Humid,Humid (low),exact
DE-Seh,50.8706,6.4497,0.9512,Humid,Humid (low),exact
DE-SfN,47.8064,11.3275,1.5602,Humid,Humid (moderate),exact
DE-Spw,51.8922,14.0337,0.7534000000000001,Humid,Humid (low),exact
DE-Tha,50.9626,13.5651,1.034,Humid,Humid (moderate),exact
DE-Zrk,53.8759,12.889,0.8708,Humid,Humid (low),exact
DK-Eng,55.6905,12.1918,0.9266000000000001,Humid,Humid (low),exact
DK-Fou,56.4842,9.5872,1.2038,Humid,Humid (moderate),exact
DK-Sor,55.4859,11.6446,0.9109,Humid,Humid (low),exact
ES-Amo,36.8336,-2.2523,0.153,Arid,Arid,exact
ES-LgS,37.0979,-2.9658,0.6952,Humid,Humid (low),exact
ES-LJu,36.9266,-2.7521,0.43860000000000005,Semi-Arid,Semi-Arid,exact
ES-Ln2,36.9695,-3.4758,0.6739,Humid,Humid (low),exact
FI-Hyy,61.8474,24.2948,1.3074000000000001,Humid,Humid (moderate),exact
FI-Jok,60.8986,23.5134,1.0987,Humid,Humid (moderate),exact
FI-Let,60.6418,23.9595,1.1863000000000001,Humid,Humid (moderate),exact
FI-Lom,67.9972,24.2092,1.3215000000000001,Humid,Humid (moderate),exact
FI-Sod,67.3624,26.6386,1.2008,Humid,Humid (moderate),exact
FR-Fon,48.4764,2.7801,0.8134,Humid,Humid (low),exact
FR-Gri,48.8442,1.9519,0.7931,Humid,Humid (low),exact
FR-LBr,44.7171,-0.7693,1.0612000000000001,Humid,Humid (moderate),exact
FR-Pue,43.7413,3.5957,0.5819,Dry Sub-Humid,Dry Sub-Humid,exact
GF-Guy,5.2788,-52.9249,2.0544000000000002,Humid,Hyper-Humid,exact
GH-Ank,5.2685,-2.6942,1.4441000000000002,Humid,Humid (moderate),exact
GL-NuF,64.1308,-51.3861,1.917,Humid,Humid (moderate),exact
GL-ZaF,74.4814,-20.5545,0.9371,Humid,Humid (low),exact
GL-ZaH,74.4733,-20.5503,0.9077000000000001,Humid,Humid (low),exact
IT-BCi,40.5237,14.9574,0.9843000000000001,Humid,Humid (low),exact
IT-CA1,42.3804,12.0266,0.2999,Semi-Arid,Semi-Arid,exact
IT-CA2,42.3772,12.026,0.2999,Semi-Arid,Semi-Arid,exact
IT-CA3,42.38,12.0222,0.3064,Semi-Arid,Semi-Arid,exact
IT-Col,41.8494,13.5881,0.9265,Humid,Humid (low),exact
IT-Cp2,41.7043,12.3573,0.7262000000000001,Humid,Humid (low),exact
IT-Cpz,41.7052,12.3761,0.7343000000000001,Humid,Humid (low),exact
IT-Isp,45.8126,8.6336,1.4861,Humid,Humid (moderate),exact
IT-La2,45.9542,11.2853,0.7050000000000001,Humid,Humid (low),exact
IT-Lav,45.9562,11.2813,0.6942,Humid,Humid (low),exact
IT-MBo,46.0147,11.0458,0.4801,Semi-Arid,Semi-Arid,exact
IT-Noe,40.6062,8.1517,0.6914,Humid,Humid (low),exact
IT-PT1,45.2009,9.061,0.9817,Humid,Humid (low),exact
IT-Ren,46.5869,11.4337,0.9963000000000001,Humid,Humid (low),exact
IT-Ro1,42.4081,11.93,0.3517,Semi-Arid,Semi-Arid,exact
IT-Ro2,42.3903,11.9209,0.3568,Semi-Arid,Semi-Arid,exact
IT-SR2,43.732,10.2909,0.8992,Humid,Humid (low),exact
IT-SRo,43.7279,10.2844,0.8992,Humid,Humid (low),exact
IT-Tor,45.8444,7.5781,1.9451,Humid,Humid (moderate),exact
JP-MBF,44.3869,142.3186,1.9387,Humid,Humid (moderate),exact
JP-SMF,35.2617,137.0788,1.929,Humid,Humid (moderate),exact
MY-PSO,2.973,102.3062,1.5,Humid,Humid (moderate),exact
NL-Hor,52.2403,5.0713,1.29,Humid,Humid (moderate),exact
NL-Loo,52.1666,5.7436,1.2644,Humid,Humid (moderate),exact
PA-SPn,9.3181,-79.6346,1.7236,Humid,Humid (moderate),exact
PA-SPs,9.3138,-79.6314,1.7327000000000001,Humid,Humid (moderate),exact
RU-Che,68.613,161.3414,0.3793,Semi-Arid,Semi-Arid,exact
RU-Cok,70.8291,147.4943,0.7239,Humid,Humid (low),exact
RU-Fyo,56.4615,32.9221,1.1464,Humid,Humid (moderate),exact
RU-Ha1,54.7252,90.0022,0.6782,Humid,Humid (low),exact
RU-Sam,72.3738,126.4958,1.0274,Humid,Humid (moderate),exact
RU-SkP,62.255,129.168,0.45930000000000004,Semi-Arid,Semi-Arid,exact
RU-Tks,71.5943,128.8878,1.2199,Humid,Humid (moderate),exact
RU-Vrk,67.0547,62.9405,1.3505,Humid,Humid (moderate),exact
SD-Dem,13.2829,30.4783,0.11670000000000001,Arid,Arid,exact
SE-St1,68.3541,19.0503,0.9677,Humid,Humid (low),exact
SJ-Adv,78.186,15.923,1.1682000000000001,Humid,Humid (moderate),exact
SJ-Blv,78.9216,11.8311,1.8502,Humid,Humid (moderate),exact
SN-Dhr,15.4028,-15.4322,0.1584,Arid,Arid,exact
US-AR1,36.4267,-99.42,0.3371,Semi-Arid,Semi-Arid,exact
US-AR2,36.6358,-99.5975,0.3428,Semi-Arid,Semi-Arid,exact
US-ARb,35.5497,-98.0402,0.5024000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
US-ARc,35.5465,-98.04,0.5024000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
US-ARM,36.6058,-97.4888,0.5599000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
US-Atq,70.4696,-157.4089,0.5095000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
US-Blo,38.8953,-120.6328,1.1022,Humid,Humid (moderate),exact
US-Cop,38.09,-109.39,0.234,Semi-Arid,Semi-Arid,exact
US-CRT,41.6285,-83.3471,0.8537,Humid,Humid (low),exact
US-GBT,41.3658,-106.2397,0.5159,Dry Sub-Humid,Dry Sub-Humid,exact
US-GLE,41.3665,-106.2399,0.5159,Dry Sub-Humid,Dry Sub-Humid,exact
US-Goo,34.2547,-89.8735,1.1041,Humid,Humid (moderate),exact
US-Ha1,42.5378,-72.1715,1.3047,Humid,Humid (moderate),exact
US-IB2,41.8406,-88.241,0.9414,Humid,Humid (low),exact
US-Ivo,68.4865,-155.7503,0.6227,Dry Sub-Humid,Dry Sub-Humid,exact
US-KS1,28.4583,-80.6709,0.8075,Humid,Humid (low),exact
US-KS2,28.6086,-80.6715,0.8412000000000001,Humid,Humid (low),exact
US-Lin,36.3566,-119.0922,0.1855,Arid,Arid,exact
US-Los,46.0827,-89.9792,1.1031,Humid,Humid (moderate),exact
US-LWW,34.9604,-97.9789,0.5014000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
US-Me1,44.5794,-121.5,0.5471,Dry Sub-Humid,Dry Sub-Humid,exact
US-Me2,44.4526,-121.5589,0.8805000000000001,Humid,Humid (low),exact
US-Me3,44.3154,-121.6078,0.4798,Semi-Arid,Semi-Arid,exact
US-Me4,44.4992,-121.6224,0.7029000000000001,Humid,Humid (low),exact
US-Me5,44.4372,-121.5668,0.7584000000000001,Humid,Humid (low),exact
US-Me6,44.3233,-121.6078,0.48210000000000003,Semi-Arid,Semi-Arid,exact
US-MMS,39.3232,-86.4131,1.0892,Humid,Humid (moderate),exact
US-Myb,38.0499,-121.765,0.2388,Semi-Arid,Semi-Arid,exact
US-Ne1,41.1651,-96.4766,0.6666000000000001,Humid,Humid (low),exact
US-Ne2,41.1649,-96.4701,0.6686000000000001,Humid,Humid (low),exact
US-Ne3,41.1797,-96.4397,0.6652,Humid,Humid (low),exact
US-NR1,40.0329,-105.5464,0.5048,Dry Sub-Humid,Dry Sub-Humid,exact
US-Oho,41.5545,-83.8438,0.8818,Humid,Humid (low),exact
US-ORv,40.0201,-83.0183,0.8753000000000001,Humid,Humid (low),exact
US-PFa,45.9459,-90.2723,1.0739,Humid,Humid (moderate),exact
US-Prr,65.1237,-147.4876,0.5956,Dry Sub-Humid,Dry Sub-Humid,exact
US-SRC,31.9083,-110.8395,0.1879,Arid,Arid,exact
US-SRG,31.7894,-110.8277,0.2682,Semi-Arid,Semi-Arid,exact
US-SRM,31.8214,-110.8661,0.22030000000000002,Semi-Arid,Semi-Arid,exact
US-Sta,41.3966,-106.8024,0.24810000000000001,Semi-Arid,Semi-Arid,exact
US-Syv,46.242,-89.3477,1.1236000000000002,Humid,Humid (moderate),exact
US-Ton,38.4309,-120.966,0.4123,Semi-Arid,Semi-Arid,exact
US-Tw1,38.1074,-121.6469,0.2597,Semi-Arid,Semi-Arid,exact
US-Tw2,38.0969,-121.6365,0.2546,Semi-Arid,Semi-Arid,exact
US-Tw3,38.1152,-121.6469,0.2591,Semi-Arid,Semi-Arid,exact
US-Tw4,38.1027,-121.6413,0.25930000000000003,Semi-Arid,Semi-Arid,exact
US-Twt,38.1087,-121.6531,0.2604,Semi-Arid,Semi-Arid,exact
US-UMB,45.5598,-84.7138,0.9573,Humid,Humid (low),exact
US-UMd,45.5625,-84.6975,0.9565,Humid,Humid (low),exact
US-Var,38.4133,-120.9508,0.4007,Semi-Arid,Semi-Arid,exact
US-WCr,45.8059,-90.0799,1.096,Humid,Humid (moderate),exact
US-Whs,31.7438,-110.0522,0.1792,Arid,Arid,exact
US-Wi0,46.6188,-91.0814,0.9983000000000001,Humid,Humid (low),exact
US-Wi1,46.7305,-91.2329,0.9993000000000001,Humid,Humid (low),exact
US-Wi2,46.6869,-91.1528,1.0269000000000001,Humid,Humid (moderate),exact
US-Wi3,46.6347,-91.0987,1.0247,Humid,Humid (moderate),exact
US-Wi4,46.7393,-91.1663,1.0059,Humid,Humid (moderate),exact
US-Wi5,46.6531,-91.0858,1.0082,Humid,Humid (moderate),exact
US-Wi6,46.6249,-91.2982,1.0096,Humid,Humid (moderate),exact
US-Wi7,46.6491,-91.0693,1.0073,Humid,Humid (moderate),exact
US-Wi8,46.7223,-91.2524,1.0063,Humid,Humid (moderate),exact
US-Wi9,46.7385,-91.0746,1.0146,Humid,Humid (moderate),exact
US-Wkg,31.7365,-109.9419,0.20070000000000002,Semi-Arid,Semi-Arid,exact
US-WPT,41.4646,-82.9962,0.8747,Humid,Humid (low),exact
ZA-Kru,-25.0197,31.4969,0.44170000000000004,Semi-Arid,Semi-Arid,exact
ZM-Mon,-15.4391,23.2525,0.45830000000000004,Semi-Arid,Semi-Arid,exact
