site_id,koppen_class_before,koppen_class_after,changed,newly_classified,lost_classification
CA-Mer,Dfb,Dfb,FALSE,FALSE,FALSE
CA-Mtk,ET,ET,FALSE,FALSE,FALSE
CA-Na1,Dfb,Dfb,FALSE,FALSE,FALSE
CA-Ojp,Dfb,Dfb,FALSE,FALSE,FALSE
CA-PB1,Dfc,Dfc,FALSE,FALSE,FALSE
CA-PB2,Dfc,Dfc,FALSE,FALSE,FALSE
CA-Qc2,Dfb,Dfb,FALSE,FALSE,FALSE
CA-Qfo,Dfb,Dfb,FALSE,FALSE,FALSE
CA-RBM,Csb,Csb,FALSE,FALSE,FALSE
CA-SCB,Dfc,Dfc,FALSE,FALSE,FALSE
CA-SCC,Dfc,Dfc,FALSE,FALSE,FALSE
CA-SF1,Dfc,Dfc,FALSE,FALSE,FALSE
CA-SF2,Dfc,Dfc,FALSE,FALSE,FALSE
CA-SF3,Dfb,Dfb,FALSE,FALSE,FALSE
CA-SJ2,Dfc,Dfc,FALSE,FALSE,FALSE
CA-SMC,Dfc,Dfc,FALSE,FALSE,FALSE
CA-TP1,Dfb,Dfb,FALSE,FALSE,FALSE
CA-TP2,BWk,BWk,FALSE,FALSE,FALSE
CA-TP3,Dfb,Dfb,FALSE,FALSE,FALSE
CA-TP4,Dfa,Dfa,FALSE,FALSE,FALSE
CA-TPA,Dfb,Dfb,FALSE,FALSE,FALSE
CA-TPD,Dfa,Dfa,FALSE,FALSE,FALSE
CA-TVC,BSk,BSk,FALSE,FALSE,FALSE
CG-Tch,Aw,Aw,FALSE,FALSE,FALSE
CH-Aws,Dfc,Dfc,FALSE,FALSE,FALSE
CH-Cha,Cfb,Cfb,FALSE,FALSE,FALSE
CH-Crs,Cfb,Cfb,FALSE,FALSE,FALSE
CH-For,Cfb,Cfb,FALSE,FALSE,FALSE
CH-Frk,ET,ET,FALSE,FALSE,FALSE
CH-Fru,Dfb,Dfb,FALSE,FALSE,FALSE
CH-Lae,Cfb,Cfb,FALSE,FALSE,FALSE
CH-Oe1,Cfb,Cfb,FALSE,FALSE,FALSE
CH-Oe2,Cfb,Cfb,FALSE,FALSE,FALSE
CH-Oe3,Cfb,Cfb,FALSE,FALSE,FALSE
CH-Rh1,Cfb,Cfb,FALSE,FALSE,FALSE
CH-Rh2,Cfb,Cfb,FALSE,FALSE,FALSE
CH-Rtb,Dfb,Dfb,FALSE,FALSE,FALSE
CH-Tnk,Cfb,Cfb,FALSE,FALSE,FALSE
CL-ACF,Cfc,Cfc,FALSE,FALSE,FALSE
CL-SDF,Cfb,Cfb,FALSE,FALSE,FALSE
CL-SDP,Cfb,Cfb,FALSE,FALSE,FALSE
CN-Aro,Dwc,Dwc,FALSE,FALSE,FALSE
CN-Ash,Cfb,Cfb,FALSE,FALSE,FALSE
CN-BeO,BSk,BSk,FALSE,FALSE,FALSE
CN-DaW,BSk,BSk,FALSE,FALSE,FALSE
CN-Dan,Dwc,Dwc,FALSE,FALSE,FALSE
CN-Dda,Dwb,Dwb,FALSE,FALSE,FALSE
CN-Din,Cfa,Cfa,FALSE,FALSE,FALSE
CN-Dmn,Dwb,Dwb,FALSE,FALSE,FALSE
CN-Dsh,ET,ET,FALSE,FALSE,FALSE
CN-Du2,Dwb,Dwb,FALSE,FALSE,FALSE
CN-Dzo,Cwa,Cwa,FALSE,FALSE,FALSE
CN-Erg,Dwb,Dwb,FALSE,FALSE,FALSE
CN-GuT,BWk,BWk,FALSE,FALSE,FALSE
CN-Ha2,ET,ET,FALSE,FALSE,FALSE
CN-HaM,Dwc,Dwc,FALSE,FALSE,FALSE
CN-HaW,Dwc,Dwc,FALSE,FALSE,FALSE
CN-HeD,BWk,BWk,FALSE,FALSE,FALSE
CN-HeM,BWk,BWk,FALSE,FALSE,FALSE
CN-Huz,Dwb,Dwb,FALSE,FALSE,FALSE
CN-Jng,ET,ET,FALSE,FALSE,FALSE
CN-Jzh,Dwa,Dwa,FALSE,FALSE,FALSE
CN-Lch,BSk,BSk,FALSE,FALSE,FALSE
CN-Lsh,Dwb,Dwb,FALSE,FALSE,FALSE
CN-Mxn,Dfb,Dfb,FALSE,FALSE,FALSE
CN-Nmn,BSk,BSk,FALSE,FALSE,FALSE
CN-Qng,Dfb,Dfb,FALSE,FALSE,FALSE
CN-Sb1,Dwc,Dwc,FALSE,FALSE,FALSE
CN-Sb2,Dwc,Dwc,FALSE,FALSE,FALSE
CN-Sdq,BWk,BWk,FALSE,FALSE,FALSE
CN-SnB,Cfa,Cfa,FALSE,FALSE,FALSE
CN-Wnb,BWk,BWk,FALSE,FALSE,FALSE
CN-Xi2,Dwb,Dwb,FALSE,FALSE,FALSE
CN-YaS,BSk,BSk,FALSE,FALSE,FALSE
CN-Yan,BSk,BSk,FALSE,FALSE,FALSE
CN-You,ET,ET,FALSE,FALSE,FALSE
CN-Yuc,Dwa,Dwa,FALSE,FALSE,FALSE
CN-Zha,Dwb,Dwb,FALSE,FALSE,FALSE
CR-AqC,Af,Af,FALSE,FALSE,FALSE
CR-Fsc,Aw,Aw,FALSE,FALSE,FALSE
CZ-BK2,Dfb,Dfb,FALSE,FALSE,FALSE
CZ-KrP,Dfb,Dfb,FALSE,FALSE,FALSE
CZ-LnG,Dfb,Dfb,FALSE,FALSE,FALSE
CZ-RAJ,Dfb,Dfb,FALSE,FALSE,FALSE
CZ-Stn,Dfb,Dfb,FALSE,FALSE,FALSE
DE-Akm,Cfb,Cfb,FALSE,FALSE,FALSE
DE-Etn,Cfb,Cfb,FALSE,FALSE,FALSE
DE-Geb,Cfb,Cfb,FALSE,FALSE,FALSE
DE-Hdn,Cfb,Cfb,FALSE,FALSE,FALSE
DE-Kli,Dfb,Dfb,FALSE,FALSE,FALSE
DE-Lkb,Dfc,Dfc,FALSE,FALSE,FALSE
DE-Lnf,Cfb,Cfb,FALSE,FALSE,FALSE
DE-Obe,Dfb,Dfb,FALSE,FALSE,FALSE
DE-Rns,Cfb,Cfb,FALSE,FALSE,FALSE
DE-RuC,Cfb,Cfb,FALSE,FALSE,FALSE
DE-RuM,Cfb,Cfb,FALSE,FALSE,FALSE
DE-RuS,Cfb,Cfb,FALSE,FALSE,FALSE
DE-SbM,Dfb,Dfb,FALSE,FALSE,FALSE
DE-Seh,Cfb,Cfb,FALSE,FALSE,FALSE
DE-SfS,NA,NA,FALSE,FALSE,FALSE
DE-Spw,Cfb,Cfb,FALSE,FALSE,FALSE
DE-Zrk,Cfb,Cfb,FALSE,FALSE,FALSE
DK-Gds,Cfb,Cfb,FALSE,FALSE,FALSE
DK-Skj,Cfb,Cfb,FALSE,FALSE,FALSE
DK-Sor,Cfb,Cfb,FALSE,FALSE,FALSE
DK-Vng,Cfb,Cfb,FALSE,FALSE,FALSE
EE-Pts,Dfb,Dfb,FALSE,FALSE,FALSE
EE-Rng,Dfb,Dfb,FALSE,FALSE,FALSE
EE-Stg,Dfb,Dfb,FALSE,FALSE,FALSE
ES-Abr,Csa,Csa,FALSE,FALSE,FALSE
ES-Agu,BWk,BWk,FALSE,FALSE,FALSE
ES-Amo,BSk,BSk,FALSE,FALSE,FALSE
ES-Cnd,Csa,Csa,FALSE,FALSE,FALSE
ES-Crg,BSk,BSk,FALSE,FALSE,FALSE
ES-Dnn,Csa,Csa,FALSE,FALSE,FALSE
ES-FtD,Csa,Csa,FALSE,FALSE,FALSE
ES-Gdn,Csa,Csa,FALSE,FALSE,FALSE
ES-HdD,BSk,BSk,FALSE,FALSE,FALSE
ES-HeB,BWk,BWk,FALSE,FALSE,FALSE
ES-Hen,BWk,BWk,FALSE,FALSE,FALSE
ES-LJu,Csb,Csb,FALSE,FALSE,FALSE
ES-LM1,Csa,Csa,FALSE,FALSE,FALSE
ES-LM2,Csa,Csa,FALSE,FALSE,FALSE
ES-Mcd,BSk,BSk,FALSE,FALSE,FALSE
ES-MtB,Csa,Csa,FALSE,FALSE,FALSE
ES-MtN,Csa,Csa,FALSE,FALSE,FALSE
ES-Mzn,Cfb,Cfb,FALSE,FALSE,FALSE
ES-Pzb,BSh,BSh,FALSE,FALSE,FALSE
ES-Srn,Cfa,Cfa,FALSE,FALSE,FALSE
ES-TzM,Csa,Csa,FALSE,FALSE,FALSE
ES-VDA,Cfb,Cfb,FALSE,FALSE,FALSE
ES-Yst,BSk,BSk,FALSE,FALSE,FALSE
FI-Ant,Dfc,Dfc,FALSE,FALSE,FALSE
FI-Jok,Dfc,Dfc,FALSE,FALSE,FALSE
FI-Nsv,Dfc,Dfc,FALSE,FALSE,FALSE
FI-Pap,Dfc,Dfc,FALSE,FALSE,FALSE
FI-Qvd,Dfb,Dfb,FALSE,FALSE,FALSE
FI-Rk2,Dfb,Dfb,FALSE,FALSE,FALSE
FI-Ruk,Dfc,Dfc,FALSE,FALSE,FALSE
FI-Sar,Dfc,Dfc,FALSE,FALSE,FALSE
FI-Sii,Dfc,Dfc,FALSE,FALSE,FALSE
FI-Sod,Dfc,Dfc,FALSE,FALSE,FALSE
FR-Aur,Cfb,Cfb,FALSE,FALSE,FALSE
FR-FBn,Csa,Csa,FALSE,FALSE,FALSE
FR-Fon,BSk,BSk,FALSE,FALSE,FALSE
FR-LBr,Cfb,Cfb,FALSE,FALSE,FALSE
FR-Lam,Cfb,Cfb,FALSE,FALSE,FALSE
FR-Lqu,Cfb,Cfb,FALSE,FALSE,FALSE
FR-Lus,Cfb,Cfb,FALSE,FALSE,FALSE
FR-Mau,Cfb,Cfb,FALSE,FALSE,FALSE
FR-Mej,Cfb,Cfb,FALSE,FALSE,FALSE
FR-Nzn,Cfb,Cfb,FALSE,FALSE,FALSE
FR-Tou,Cfa,Cfa,FALSE,FALSE,FALSE
GF-Guy,Af,Af,FALSE,FALSE,FALSE
GH-Ank,Af,Af,FALSE,FALSE,FALSE
GL-Dsk,ET,ET,FALSE,FALSE,FALSE
GL-NuF,ET,ET,FALSE,FALSE,FALSE
GL-ZaF,ET,ET,FALSE,FALSE,FALSE
GL-ZaH,ET,ET,FALSE,FALSE,FALSE
ID-JOP,Af,Af,FALSE,FALSE,FALSE
ID-PaB,Af,Af,FALSE,FALSE,FALSE
ID-PaD,Af,Af,FALSE,FALSE,FALSE
ID-Pag,Af,Af,FALSE,FALSE,FALSE
IE-CaC,Cfb,Cfb,FALSE,FALSE,FALSE
IE-CaN,Cfb,Cfb,FALSE,FALSE,FALSE
IE-Cra,Cfb,Cfb,FALSE,FALSE,FALSE
IE-Gwr,Cfb,Cfb,FALSE,FALSE,FALSE
IL-RmH,Csa,Csa,FALSE,FALSE,FALSE
IL-Yat,BSh,BSh,FALSE,FALSE,FALSE
IT-Arz,Cfa,Cfa,FALSE,FALSE,FALSE
IT-BFt,Cfa,Cfa,FALSE,FALSE,FALSE
IT-BsB,Cfb,Cfb,FALSE,FALSE,FALSE
IT-Bsn,Cfb,Cfb,FALSE,FALSE,FALSE
IT-CA1,Csa,Csa,FALSE,FALSE,FALSE
IT-CA2,Csa,Csa,FALSE,FALSE,FALSE
IT-CA3,Csa,Csa,FALSE,FALSE,FALSE
IT-Lav,Dfb,Dfb,FALSE,FALSE,FALSE
IT-Lsn,Cfa,Cfa,FALSE,FALSE,FALSE
IT-NiG,ET,ET,FALSE,FALSE,FALSE
IT-Niv,ET,NA,FALSE,FALSE,TRUE
IT-Noe,Csa,Csa,FALSE,FALSE,FALSE
IT-SRo,Csa,Csa,FALSE,FALSE,FALSE
IT-Tor,Dfc,Dfc,FALSE,FALSE,FALSE
IT-TrF,Dfc,Dfc,FALSE,FALSE,FALSE
JP-BBY,Dfb,Dfb,FALSE,FALSE,FALSE
JP-Fhk,Dfb,Dfb,FALSE,FALSE,FALSE
JP-Fjy,Dfb,Dfb,FALSE,FALSE,FALSE
JP-Fmt,NA,NA,FALSE,FALSE,FALSE
JP-Hc2,Cfa,Cfa,FALSE,FALSE,FALSE
JP-Hc3,Cfa,Cfa,FALSE,FALSE,FALSE
JP-KaP,NA,NA,FALSE,FALSE,FALSE
JP-Khw,Cfa,Cfa,FALSE,FALSE,FALSE
JP-Kzw,NA,NA,FALSE,FALSE,FALSE
JP-MBF,NA,NA,FALSE,FALSE,FALSE
JP-MMF,Dfb,Dfb,FALSE,FALSE,FALSE
JP-Mse,NA,NA,FALSE,FALSE,FALSE
JP-NsC,Cfa,Cfa,FALSE,FALSE,FALSE
JP-NsM,Cfa,Cfa,FALSE,FALSE,FALSE
JP-Nuf,NA,NA,FALSE,FALSE,FALSE
JP-SMF,NA,NA,FALSE,FALSE,FALSE
JP-Sb1,Dfb,Dfb,FALSE,FALSE,FALSE
JP-Sb2,Dfb,Dfb,FALSE,FALSE,FALSE
JP-Shn,NA,NA,FALSE,FALSE,FALSE
JP-Spp,Dfb,Dfb,FALSE,FALSE,FALSE
JP-Srk,Dfb,Dfb,FALSE,FALSE,FALSE
JP-Ta2,Dfb,Dfb,FALSE,FALSE,FALSE
JP-Tak,NA,NA,FALSE,FALSE,FALSE
JP-Tef,Dfb,Dfb,FALSE,FALSE,FALSE
JP-Tkb,NA,NA,FALSE,FALSE,FALSE
JP-Tmd,Dfb,Dfb,FALSE,FALSE,FALSE
JP-Tmk,Dfb,Dfb,FALSE,FALSE,FALSE
JP-Toc,Dfb,Dfb,FALSE,FALSE,FALSE
JP-Yms,NA,NA,FALSE,FALSE,FALSE
JP-Ynf,NA,NA,FALSE,FALSE,FALSE
KE-Aq1,Cfb,Cfb,FALSE,FALSE,FALSE
KE-Aq2,Cfb,Cfb,FALSE,FALSE,FALSE
KE-Chk,BSh,BSh,FALSE,FALSE,FALSE
KE-Kpt,Cwb,Cwb,FALSE,FALSE,FALSE
KE-Mkt,BWh,BWh,FALSE,FALSE,FALSE
KH-Kmp,NA,NA,FALSE,FALSE,FALSE
KR-AdC,Cfa,Cfa,FALSE,FALSE,FALSE
KR-CRK,Dwa,Dwa,FALSE,FALSE,FALSE
KR-CmF,Dwa,Dwa,FALSE,FALSE,FALSE
KR-GmP,Dfa,Dfa,FALSE,FALSE,FALSE
KR-GmR,Dfa,Dfa,FALSE,FALSE,FALSE
KR-GmS,Dfa,Dfa,FALSE,FALSE,FALSE
KR-HPK,Cfa,Cfa,FALSE,FALSE,FALSE
KR-HcM,Dwa,Dwa,FALSE,FALSE,FALSE
KR-Hnm,Cfa,Cfa,FALSE,FALSE,FALSE
KR-JjM,Cfa,Cfa,FALSE,FALSE,FALSE
KR-Kw1,Dwa,Dwa,FALSE,FALSE,FALSE
KR-Kw2,Dwa,Dwa,FALSE,FALSE,FALSE
KR-Nj1,Cfa,Cfa,FALSE,FALSE,FALSE
KR-Nj2,Cfa,Cfa,FALSE,FALSE,FALSE
KR-PcD,Dfb,Dfb,FALSE,FALSE,FALSE
KR-ScC,Cfa,Cfa,FALSE,FALSE,FALSE
KR-SmM,Dwa,Dwa,FALSE,FALSE,FALSE
KR-TwB,Dwa,Dwa,FALSE,FALSE,FALSE
KR-TwC,Dwa,Dwa,FALSE,FALSE,FALSE
KR-UAO,Dfa,Dfa,FALSE,FALSE,FALSE
KR-WdE,Cfa,Cfa,FALSE,FALSE,FALSE
ML-Kem,Aw,Aw,FALSE,FALSE,FALSE
MN-Hst,Dwb,Dwb,FALSE,FALSE,FALSE
MN-Kbu,Dwb,Dwb,FALSE,FALSE,FALSE
MN-Nkh,Dwc,Dwc,FALSE,FALSE,FALSE
MN-Udg,Dwc,Dwc,FALSE,FALSE,FALSE
MX-Aog,Aw,Aw,FALSE,FALSE,FALSE
MX-PMm,Af,Af,FALSE,FALSE,FALSE
MX-Tes,BSh,BSh,FALSE,FALSE,FALSE
MY-LHP,Af,Af,FALSE,FALSE,FALSE
NL-Hrw,Cfb,Cfb,FALSE,FALSE,FALSE
NL-Vkp,Cfb,Cfb,FALSE,FALSE,FALSE
NO-And,NA,NA,FALSE,FALSE,FALSE
NO-Fns,ET,ET,FALSE,FALSE,FALSE
NO-Hur,Dfb,Dfb,FALSE,FALSE,FALSE
NO-Ikr,Dfc,Dfc,FALSE,FALSE,FALSE
NZ-ADd,Cfb,Cfb,FALSE,FALSE,FALSE
NZ-ADw,Cfb,Cfb,FALSE,FALSE,FALSE
NZ-BFm,Cfb,Cfb,FALSE,FALSE,FALSE
NZ-BFu,Cfb,Cfb,FALSE,FALSE,FALSE
NZ-Cla,Cfb,Cfb,FALSE,FALSE,FALSE
NZ-Kop,Cfb,Cfb,FALSE,FALSE,FALSE
NZ-Lau,Cfb,Cfb,FALSE,FALSE,FALSE
NZ-Oxf,Cfb,Cfb,FALSE,FALSE,FALSE
NZ-ScF,Cfb,Cfb,FALSE,FALSE,FALSE
PA-SPn,Am,Am,FALSE,FALSE,FALSE
PA-SPs,Am,Am,FALSE,FALSE,FALSE
PE-QFR,NA,NA,FALSE,FALSE,FALSE
PR-xGU,BSh,BSh,FALSE,FALSE,FALSE
PR-xLA,Aw,Aw,FALSE,FALSE,FALSE
RU-Ch2,Dfc,Dfc,FALSE,FALSE,FALSE
RU-Che,Dfc,Dfc,FALSE,FALSE,FALSE
RU-Ege,Dfc,Dfc,FALSE,FALSE,FALSE
RU-Fy2,Dfb,Dfb,FALSE,FALSE,FALSE
RU-Fy3,Dfb,Dfb,FALSE,FALSE,FALSE
RU-Fy4,Dfb,Dfb,FALSE,FALSE,FALSE
RU-Fyo,Dfb,Dfb,FALSE,FALSE,FALSE
RU-Ha1,Dfb,Dfb,FALSE,FALSE,FALSE
RU-NeB,Dfd,Dfd,FALSE,FALSE,FALSE
RU-NeC,Dfc,Dfc,FALSE,FALSE,FALSE
RU-NeF,Dfc,Dfc,FALSE,FALSE,FALSE
RU-Sk2,Dfc,Dfc,FALSE,FALSE,FALSE
RU-SkP,Dfc,Dfc,FALSE,FALSE,FALSE
RU-Tur,Dfc,Dfc,FALSE,FALSE,FALSE
SD-Dem,BWh,BWh,FALSE,FALSE,FALSE
SE-Deg,Dfc,Dfc,FALSE,FALSE,FALSE
SE-HfM,Dfc,Dfc,FALSE,FALSE,FALSE
SE-Hmr,Dfc,Dfc,FALSE,FALSE,FALSE
SE-Htm,Cfb,Cfb,FALSE,FALSE,FALSE
SE-Nor,Dfb,Dfb,FALSE,FALSE,FALSE
SE-Ros,Dfc,Dfc,FALSE,FALSE,FALSE
SE-Srj,Dfc,Dfc,FALSE,FALSE,FALSE
SE-St1,BSk,BSk,FALSE,FALSE,FALSE
SE-Sto,Dfc,Dfc,FALSE,FALSE,FALSE
SE-Trb,Dfc,Dfc,FALSE,FALSE,FALSE
SN-Dhr,BWh,BWh,FALSE,FALSE,FALSE
SN-Nkr,BSh,BSh,FALSE,FALSE,FALSE
TH-Kog,Cwb,Cwb,FALSE,FALSE,FALSE
TH-Mae,Aw,Aw,FALSE,FALSE,FALSE
UK-AMo,Cfb,Cfb,FALSE,FALSE,FALSE
UK-Ags,Cfb,Cfb,FALSE,FALSE,FALSE
UK-BnB,Cfb,Cfb,FALSE,FALSE,FALSE
UK-CCr,Cfb,Cfb,FALSE,FALSE,FALSE
UK-Cvn,Cfb,Cfb,FALSE,FALSE,FALSE
UK-GaB,Cfb,Cfb,FALSE,FALSE,FALSE
UK-Gnn,Cfb,Cfb,FALSE,FALSE,FALSE
UK-Gwr,Cfb,Cfb,FALSE,FALSE,FALSE
UK-HgF,Cfb,Cfb,FALSE,FALSE,FALSE
UK-HpF,Cfb,Cfb,FALSE,FALSE,FALSE
US-A03,ET,ET,FALSE,FALSE,FALSE
US-A10,ET,ET,FALSE,FALSE,FALSE
US-A32,Cfa,Cfa,FALSE,FALSE,FALSE
US-A37,BWk,BWk,FALSE,FALSE,FALSE
US-A39,BWk,BWk,FALSE,FALSE,FALSE
US-A74,BSk,BSk,FALSE,FALSE,FALSE
US-ABa,Cfa,Cfa,FALSE,FALSE,FALSE
US-ABb,Cfa,Cfa,FALSE,FALSE,FALSE
US-ABc,Cfa,Cfa,FALSE,FALSE,FALSE
US-ABd,Cfa,Cfa,FALSE,FALSE,FALSE
US-ABe,Cfa,Cfa,FALSE,FALSE,FALSE
US-ADR,BWk,BWk,FALSE,FALSE,FALSE
US-ALQ,Dfb,Dfb,FALSE,FALSE,FALSE
US-AR1,Cfa,Cfa,FALSE,FALSE,FALSE
US-AR2,BSk,BSk,FALSE,FALSE,FALSE
US-ARM,Cfa,Cfa,FALSE,FALSE,FALSE
US-ARb,Cfa,Cfa,FALSE,FALSE,FALSE
US-ARc,Cfa,Cfa,FALSE,FALSE,FALSE
US-ASH,Csa,Csa,FALSE,FALSE,FALSE
US-ASM,Csa,Csa,FALSE,FALSE,FALSE
US-Akn,BWk,BWk,FALSE,FALSE,FALSE
US-Aud,BSk,BSk,FALSE,FALSE,FALSE
US-BRG,Dfa,Dfa,FALSE,FALSE,FALSE
US-BZB,BSk,BSk,FALSE,FALSE,FALSE
US-BZF,BSk,BSk,FALSE,FALSE,FALSE
US-BZo,BSk,BSk,FALSE,FALSE,FALSE
US-Bar,Dfb,Dfb,FALSE,FALSE,FALSE
US-Bi1,Csb,Csb,FALSE,FALSE,FALSE
US-Bi2,Csb,Csb,FALSE,FALSE,FALSE
US-CAK,Dfc,Dfc,FALSE,FALSE,FALSE
US-CF1,BWk,BWk,FALSE,FALSE,FALSE
US-CF2,BWk,BWk,FALSE,FALSE,FALSE
US-CF3,BWk,BWk,FALSE,FALSE,FALSE
US-CF4,BWk,BWk,FALSE,FALSE,FALSE
US-CGG,Csb,Csb,FALSE,FALSE,FALSE
US-CLF,Dfb,Dfb,FALSE,FALSE,FALSE
US-CMW,BWk,BWk,FALSE,FALSE,FALSE
US-CRK,Cfa,Cfa,FALSE,FALSE,FALSE
US-CRT,Dfa,Dfa,FALSE,FALSE,FALSE
US-CS1,Dfb,Dfb,FALSE,FALSE,FALSE
